sub_id,name,type,bus1,bus2,W1,W2,latitude,longitude,gic
82004992,T1,GY-D,6451,6452,0.05,0.1,43.93182620629218,-70.20327037247132,{'i_k': -71.55566311375009}
47429571,T2,GY-D,5167,5168,0.05,0.1,28.470988734764298,-81.44088812710847,{'i_k': -1.6303745505928486}
172016584,T3,GY-D,2599,2600,0.05,0.1,40.25416679017616,-74.11846467339706,{'i_k': -50.936450789874065}
1115995434,T4,GY-D,575,576,0.05,0.1,46.08793157099949,-98.90383997943138,{'i_k': 0.0}
97126451,T5,GY-D,7205,7206,0.05,0.1,37.02836144878278,-76.42968634818175,{'i_k': -1.5526069014454944}
164419150,T6,GY-GY,1898,1897,0.04,0.06,33.63052964310055,-87.0556664332525,"{'i_w1': -25.061898721036552, 'i_w2': -21.67659843296409}"
81524462,T7,GY-D,6393,6394,0.05,0.1,36.98661163051016,-76.43038552042745,{'i_k': -3.4028905037916206}
166776121,T8,GY-D,2087,2088,0.05,0.1,30.560548389687327,-81.85030127214779,{'i_k': -0.6068107218854312}
39331421,T9,GY-D,4835,4836,0.05,0.1,34.93703018448539,-92.43852615254023,{'i_k': -97.47475987365203}
175368291,T10,GY-D,2913,2914,0.05,0.1,43.000030338277504,-85.41540713465261,{'i_k': -32.237775754594324}
49615856,T11,GY-D,5281,5282,0.05,0.1,26.44629530715679,-80.088674902768,{'i_k': 0.0}
134832527,T12,GY-D,1065,1066,0.05,0.1,42.18796603565216,-71.73746958685817,{'i_k': -114.22691896956438}
59409863,T13,GY-D,5717,5718,0.05,0.1,38.931667779694536,-77.30377796497675,{'i_k': -46.763718572994875}
166846899,T14,GY-D,2113,2114,0.05,0.1,30.058155537293885,-81.52894621447794,{'i_k': -3.6044890459157517}
82121418,T15,GY-D,6479,6480,0.05,0.1,37.42013807494822,-76.91195250883091,{'i_k': -37.21248955122318}
164658796,T16,GY-GY,1936,1935,0.04,0.06,32.22915971361611,-86.2606169400901,"{'i_w1': -16.749449999020705, 'i_w2': -9.400102698904256}"
694747932,T17,GY-D,6057,6058,0.05,0.1,40.53129029464653,-74.34687598477356,{'i_k': -18.254843182625727}
181134948,T18,GY-D,3233,3234,0.05,0.1,40.58031255054021,-77.59022637390444,{'i_k': -36.96961304814626}
81512682,T19,GY-D,6387,6388,0.05,0.1,37.09138233245193,-76.38873817767885,{'i_k': -4.032943948184462}
104111198,T20,GY-D,209,210,0.05,0.1,38.694983969912805,-77.26074023245151,{'i_k': 0.0}
153209358,T21,GY-D,1477,1478,0.05,0.1,40.77125133864502,-86.8673345025657,{'i_k': -47.982324242834}
140012533,T22,GY-D,1237,1238,0.05,0.1,42.01016342218112,-71.67370194621338,{'i_k': -160.84973097945556}
669594105,T23,GY-D,5959,5960,0.05,0.1,44.14098754380475,-70.18605900924541,{'i_k': -21.550348182582688}
102222589,T24,GY-D,73,74,0.05,0.1,41.16168667900151,-102.99120094264931,{'i_k': -6.62852561920622}
228341144,T25,GY-D,4037,4038,0.05,0.1,38.95018716021653,-77.19947142503617,{'i_k': -0.22714918030494585}
176727205,T26,GY-D,2993,2994,0.05,0.1,41.30344465272964,-81.47421978204326,{'i_k': -19.480652975798144}
170991651,T27,GY-D,2385,2386,0.05,0.1,32.88253020337303,-83.31691687237705,{'i_k': 0.0}
25899010,T28,GY-D,4149,4150,0.05,0.1,27.908376516530883,-82.40878327080327,{'i_k': -1.2196610991262908}
98882909,T29,GY-D,7317,7318,0.05,0.1,28.04365992427536,-80.70674166622064,{'i_k': -0.8261603703903319}
138626912,T30,GY-D,1149,1150,0.05,0.1,32.26160837989299,-90.1641978593603,{'i_k': -0.18028509336305673}
89406749,T31,GY-GY,6766,6765,0.04,0.06,41.52288828705316,-86.3609059417599,"{'i_w1': -154.15680839266363, 'i_w2': -49.99275949052473}"
33127731,T32,GY-D,4413,4414,0.05,0.1,41.63027781646825,-88.09526485572978,{'i_k': -27.37407405008298}
175158205,T33,GY-D,2897,2898,0.05,0.1,34.028033500191114,-84.56167944994003,{'i_k': -3.049055579016936}
45836738,T34,GY-GY,5090,5089,0.04,0.06,38.89491305708543,-77.56822564066364,"{'i_w1': -70.9273128603657, 'i_w2': -179.8877451951929}"
40397417,T35,GY-D,4887,4888,0.05,0.1,42.46922702449067,-87.89552500469144,{'i_k': -8.475810849095529}
139514789,T36,GY-GY,1188,1187,0.04,0.06,29.98582847214609,-90.4785815858396,"{'i_w1': -0.5981178614061594, 'i_w2': -0.11819848188344878}"
151081736,T37,GY-D,1457,1458,0.05,0.1,38.20489229373817,-81.42055139451074,{'i_k': -20.41153163585666}
139664489,T38,GY-GY,1204,1203,0.04,0.06,30.74525392025574,-91.3310775071047,"{'i_w1': -0.9616505841483886, 'i_w2': -0.5625304848070043}"
